ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:freqval_caa001b_10	Frequency mode 10 caa001b	gc:FloatValue	79.25	gc:cm-1
ex:freqval_caa001b_11	Frequency mode 11 caa001b	gc:FloatValue	100.2	gc:cm-1
ex:freqval_caa001b_12	Frequency mode 12 caa001b	gc:FloatValue	115.95	gc:cm-1
ex:freqval_caa001b_13	Frequency mode 13 caa001b	gc:FloatValue	136.42	gc:cm-1
ex:freqval_caa001b_14	Frequency mode 14 caa001b	gc:FloatValue	158.27	gc:cm-1
ex:freqval_caa001b_15	Frequency mode 15 caa001b	gc:FloatValue	232.87	gc:cm-1
ex:freqval_caa001b_16	Frequency mode 16 caa001b	gc:FloatValue	243.03	gc:cm-1
ex:freqval_caa001b_17	Frequency mode 17 caa001b	gc:FloatValue	298.6	gc:cm-1
ex:freqval_caa001b_18	Frequency mode 18 caa001b	gc:FloatValue	325.57	gc:cm-1
ex:freqval_caa001b_19	Frequency mode 19 caa001b	gc:FloatValue	411.84	gc:cm-1
ex:freqval_caa001b_20	Frequency mode 20 caa001b	gc:FloatValue	488.59	gc:cm-1
ex:freqval_caa001b_21	Frequency mode 21 caa001b	gc:FloatValue	506.92	gc:cm-1
ex:freqval_caa001b_22	Frequency mode 22 caa001b	gc:FloatValue	770.3	gc:cm-1
ex:freqval_caa001b_23	Frequency mode 23 caa001b	gc:FloatValue	874.6	gc:cm-1
ex:freqval_caa001b_24	Frequency mode 24 caa001b	gc:FloatValue	1013.73	gc:cm-1
ex:freqval_caa001b_25	Frequency mode 25 caa001b	gc:FloatValue	1143.2	gc:cm-1
ex:freqval_caa001b_26	Frequency mode 26 caa001b	gc:FloatValue	1192.65	gc:cm-1
ex:freqval_caa001b_27	Frequency mode 27 caa001b	gc:FloatValue	1265.1	gc:cm-1
ex:freqval_caa001b_28	Frequency mode 28 caa001b	gc:FloatValue	1343.24	gc:cm-1
ex:freqval_caa001b_29	Frequency mode 29 caa001b	gc:FloatValue	1354.83	gc:cm-1
ex:freqval_caa001b_30	Frequency mode 30 caa001b	gc:FloatValue	1900.59	gc:cm-1
ex:freqval_caa001b_31	Frequency mode 31 caa001b	gc:FloatValue	1929.85	gc:cm-1
ex:freqval_caa001b_32	Frequency mode 32 caa001b	gc:FloatValue	2027.75	gc:cm-1
ex:freqval_caa001b_33	Frequency mode 33 caa001b	gc:FloatValue	3019.95	gc:cm-1
ex:freqval_caa001b_34	Frequency mode 34 caa001b	gc:FloatValue	3079.17	gc:cm-1
ex:freqval_caa001b_35	Frequency mode 35 caa001b	gc:FloatValue	3103.86	gc:cm-1
ex:freqval_caa001b_36	Frequency mode 36 caa001b	gc:FloatValue	3464.65	gc:cm-1
ex:freqval_caa001b_37	Frequency mode 37 caa001b	gc:FloatValue	3472.92	gc:cm-1
ex:freqval_caa001b_38	Frequency mode 38 caa001b	gc:FloatValue	3561.44	gc:cm-1
ex:freqval_caa001b_39	Frequency mode 39 caa001b	gc:FloatValue	3570.57	gc:cm-1
ex:intval_caa001b_1	IR intensity mode 1 caa001b	gc:FloatValue	0.03085	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_2	IR intensity mode 2 caa001b	gc:FloatValue	0.01699	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_3	IR intensity mode 3 caa001b	gc:FloatValue	7e-04	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_4	IR intensity mode 4 caa001b	gc:FloatValue	0.00245	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_5	IR intensity mode 5 caa001b	gc:FloatValue	0.08129	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_6	IR intensity mode 6 caa001b	gc:FloatValue	0.05515	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_7	IR intensity mode 7 caa001b	gc:FloatValue	0.05783	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_8	IR intensity mode 8 caa001b	gc:FloatValue	0.0943	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_9	IR intensity mode 9 caa001b	gc:FloatValue	0.23881	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_10	IR intensity mode 10 caa001b	gc:FloatValue	0.44035	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_11	IR intensity mode 11 caa001b	gc:FloatValue	0.03774	gc:debyeSquaredPerAmuAngstromSquared
