ex:peak_caa002_20	Mode 20 caa002	gc:FrequencyPeak	ex:freqval_caa002_20	ex:intval_caa002_20
ex:peak_caa002_21	Mode 21 caa002	gc:FrequencyPeak	ex:freqval_caa002_21	ex:intval_caa002_21
ex:peak_caa002_22	Mode 22 caa002	gc:FrequencyPeak	ex:freqval_caa002_22	ex:intval_caa002_22
ex:peak_caa002_23	Mode 23 caa002	gc:FrequencyPeak	ex:freqval_caa002_23	ex:intval_caa002_23
ex:peak_caa002_24	Mode 24 caa002	gc:FrequencyPeak	ex:freqval_caa002_24	ex:intval_caa002_24
ex:peak_caa002_25	Mode 25 caa002	gc:FrequencyPeak	ex:freqval_caa002_25	ex:intval_caa002_25
ex:peak_caa002_26	Mode 26 caa002	gc:FrequencyPeak	ex:freqval_caa002_26	ex:intval_caa002_26
ex:peak_caa002_27	Mode 27 caa002	gc:FrequencyPeak	ex:freqval_caa002_27	ex:intval_caa002_27
ex:peak_caa002_28	Mode 28 caa002	gc:FrequencyPeak	ex:freqval_caa002_28	ex:intval_caa002_28
ex:peak_caa002_29	Mode 29 caa002	gc:FrequencyPeak	ex:freqval_caa002_29	ex:intval_caa002_29
ex:peak_caa002_30	Mode 30 caa002	gc:FrequencyPeak	ex:freqval_caa002_30	ex:intval_caa002_30
ex:peak_caa002_31	Mode 31 caa002	gc:FrequencyPeak	ex:freqval_caa002_31	ex:intval_caa002_31
ex:peak_caa002_32	Mode 32 caa002	gc:FrequencyPeak	ex:freqval_caa002_32	ex:intval_caa002_32
ex:peak_caa002_33	Mode 33 caa002	gc:FrequencyPeak	ex:freqval_caa002_33	ex:intval_caa002_33
ex:peak_caa002_34	Mode 34 caa002	gc:FrequencyPeak	ex:freqval_caa002_34	ex:intval_caa002_34
ex:peak_caa002_35	Mode 35 caa002	gc:FrequencyPeak	ex:freqval_caa002_35	ex:intval_caa002_35
ex:peak_caa002_36	Mode 36 caa002	gc:FrequencyPeak	ex:freqval_caa002_36	ex:intval_caa002_36
ex:peak_caa002_37	Mode 37 caa002	gc:FrequencyPeak	ex:freqval_caa002_37	ex:intval_caa002_37
ex:peak_caa002_38	Mode 38 caa002	gc:FrequencyPeak	ex:freqval_caa002_38	ex:intval_caa002_38
ex:peak_caa002_39	Mode 39 caa002	gc:FrequencyPeak	ex:freqval_caa002_39	ex:intval_caa002_39
ex:peak_caa002a_1	Mode 1 caa002a (imaginary)	gc:FrequencyPeak	ex:freqval_caa002a_1	ex:intval_caa002a_1
ex:peak_caa002a_2	Mode 2 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_2	ex:intval_caa002a_2
ex:peak_caa002a_3	Mode 3 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_3	ex:intval_caa002a_3
ex:peak_caa002a_4	Mode 4 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_4	ex:intval_caa002a_4
ex:peak_caa002a_5	Mode 5 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_5	ex:intval_caa002a_5
ex:peak_caa002a_6	Mode 6 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_6	ex:intval_caa002a_6
ex:peak_caa002a_7	Mode 7 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_7	ex:intval_caa002a_7
ex:peak_caa002a_8	Mode 8 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_8	ex:intval_caa002a_8
ex:peak_caa002a_9	Mode 9 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_9	ex:intval_caa002a_9
ex:peak_caa002a_10	Mode 10 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_10	ex:intval_caa002a_10
ex:peak_caa002a_11	Mode 11 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_11	ex:intval_caa002a_11
ex:peak_caa002a_12	Mode 12 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_12	ex:intval_caa002a_12
ex:peak_caa002a_13	Mode 13 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_13	ex:intval_caa002a_13
ex:peak_caa002a_14	Mode 14 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_14	ex:intval_caa002a_14
ex:peak_caa002a_15	Mode 15 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_15	ex:intval_caa002a_15
ex:peak_caa002a_16	Mode 16 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_16	ex:intval_caa002a_16
ex:peak_caa002a_17	Mode 17 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_17	ex:intval_caa002a_17
ex:peak_caa002a_18	Mode 18 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_18	ex:intval_caa002a_18
ex:peak_caa002a_19	Mode 19 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_19	ex:intval_caa002a_19
ex:peak_caa002a_20	Mode 20 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_20	ex:intval_caa002a_20
ex:peak_caa002a_21	Mode 21 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_21	ex:intval_caa002a_21
ex:peak_caa002a_22	Mode 22 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_22	ex:intval_caa002a_22
ex:peak_caa002a_23	Mode 23 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_23	ex:intval_caa002a_23
ex:peak_caa002a_24	Mode 24 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_24	ex:intval_caa002a_24
ex:peak_caa002a_25	Mode 25 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_25	ex:intval_caa002a_25
ex:peak_caa002a_26	Mode 26 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_26	ex:intval_caa002a_26
ex:peak_caa002a_27	Mode 27 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_27	ex:intval_caa002a_27
ex:peak_caa002a_28	Mode 28 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_28	ex:intval_caa002a_28
ex:peak_caa002a_29	Mode 29 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_29	ex:intval_caa002a_29
ex:peak_caa002a_30	Mode 30 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_30	ex:intval_caa002a_30
ex:peak_caa002a_31	Mode 31 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_31	ex:intval_caa002a_31
ex:peak_caa002a_32	Mode 32 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_32	ex:intval_caa002a_32
ex:peak_caa002a_33	Mode 33 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_33	ex:intval_caa002a_33
ex:peak_caa002a_34	Mode 34 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_34	ex:intval_caa002a_34
ex:peak_caa002a_35	Mode 35 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_35	ex:intval_caa002a_35
ex:peak_caa002a_36	Mode 36 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_36	ex:intval_caa002a_36
ex:peak_caa002a_37	Mode 37 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_37	ex:intval_caa002a_37
ex:peak_caa002a_38	Mode 38 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_38	ex:intval_caa002a_38
ex:peak_caa002a_39	Mode 39 caa002a	gc:FrequencyPeak	ex:freqval_caa002a_39	ex:intval_caa002a_39
ex:peak_caa002b_1	Mode 1 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_1	ex:intval_caa002b_1
ex:peak_caa002b_2	Mode 2 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_2	ex:intval_caa002b_2
ex:peak_caa002b_3	Mode 3 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_3	ex:intval_caa002b_3
ex:peak_caa002b_4	Mode 4 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_4	ex:intval_caa002b_4
ex:peak_caa002b_5	Mode 5 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_5	ex:intval_caa002b_5
ex:peak_caa002b_6	Mode 6 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_6	ex:intval_caa002b_6
ex:peak_caa002b_7	Mode 7 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_7	ex:intval_caa002b_7
ex:peak_caa002b_8	Mode 8 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_8	ex:intval_caa002b_8
ex:peak_caa002b_9	Mode 9 caa002b	gc:FrequencyPeak	ex:freqval_caa002b_9	ex:intval_caa002b_9
