ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_caa005bTSaIRCf_68	Path point 68 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	68	ex:pathenergy_caa005bTSaIRCf_68
ex:pathpoint_caa005bTSaIRCf_69	Path point 69 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	69	ex:pathenergy_caa005bTSaIRCf_69
ex:pathpoint_caa005bTSaIRCf_70	Path point 70 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	70	ex:pathenergy_caa005bTSaIRCf_70
ex:pathpoint_caa005bTSaIRCf_71	Path point 71 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	71	ex:pathenergy_caa005bTSaIRCf_71
ex:pathpoint_caa005bTSaIRCf_72	Path point 72 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	72	ex:pathenergy_caa005bTSaIRCf_72
ex:pathpoint_caa005bTSaIRCf_73	Path point 73 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	73	ex:pathenergy_caa005bTSaIRCf_73
ex:pathpoint_caa005bTSaIRCf_74	Path point 74 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	74	ex:pathenergy_caa005bTSaIRCf_74
ex:pathpoint_caa005bTSaIRCf_75	Path point 75 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	75	ex:pathenergy_caa005bTSaIRCf_75
ex:pathpoint_caa005bTSaIRCf_76	Path point 76 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	76	ex:pathenergy_caa005bTSaIRCf_76
ex:pathpoint_caa005bTSaIRCf_77	Path point 77 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	77	ex:pathenergy_caa005bTSaIRCf_77
ex:pathpoint_caa005bTSaIRCf_78	Path point 78 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	78	ex:pathenergy_caa005bTSaIRCf_78
ex:pathpoint_caa005bTSaIRCf_79	Path point 79 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	79	ex:pathenergy_caa005bTSaIRCf_79
ex:pathpoint_caa005bTSaIRCf_80	Path point 80 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	80	ex:pathenergy_caa005bTSaIRCf_80
ex:pathpoint_caa005bTSaIRCf_81	Path point 81 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	81	ex:pathenergy_caa005bTSaIRCf_81
ex:pathpoint_caa005bTSaIRCf_82	Path point 82 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	82	ex:pathenergy_caa005bTSaIRCf_82
ex:pathpoint_caa005bTSaIRCf_83	Path point 83 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	83	ex:pathenergy_caa005bTSaIRCf_83
ex:pathpoint_caa005bTSaIRCf_84	Path point 84 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	84	ex:pathenergy_caa005bTSaIRCf_84
ex:pathpoint_caa005bTSaIRCf_85	Path point 85 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	85	ex:pathenergy_caa005bTSaIRCf_85
ex:pathpoint_caa005bTSaIRCf_86	Path point 86 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	86	ex:pathenergy_caa005bTSaIRCf_86
ex:pathpoint_caa005bTSaIRCf_87	Path point 87 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	87	ex:pathenergy_caa005bTSaIRCf_87
ex:pathpoint_caa005bTSaIRCf_88	Path point 88 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	88	ex:pathenergy_caa005bTSaIRCf_88
ex:pathpoint_caa005bTSaIRCf_89	Path point 89 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	89	ex:pathenergy_caa005bTSaIRCf_89
ex:pathpoint_caa005bTSaIRCf_90	Path point 90 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	90	ex:pathenergy_caa005bTSaIRCf_90
ex:pathpoint_caa005bTSaIRCf_91	Path point 91 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	91	ex:pathenergy_caa005bTSaIRCf_91
ex:pathpoint_caa005bTSaIRCf_92	Path point 92 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	92	ex:pathenergy_caa005bTSaIRCf_92
ex:pathpoint_caa005bTSaIRCf_93	Path point 93 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	93	ex:pathenergy_caa005bTSaIRCf_93
ex:pathpoint_caa005bTSaIRCf_94	Path point 94 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	94	ex:pathenergy_caa005bTSaIRCf_94
ex:pathpoint_caa005bTSaIRCf_95	Path point 95 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	95	ex:pathenergy_caa005bTSaIRCf_95
ex:pathpoint_caa005bTSaIRCf_96	Path point 96 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	96	ex:pathenergy_caa005bTSaIRCf_96
ex:pathpoint_caa005bTSaIRCf_97	Path point 97 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	97	ex:pathenergy_caa005bTSaIRCf_97
ex:pathpoint_caa005bTSaIRCf_98	Path point 98 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	98	ex:pathenergy_caa005bTSaIRCf_98
ex:pathpoint_caa005bTSaIRCf_99	Path point 99 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	99	ex:pathenergy_caa005bTSaIRCf_99
ex:pathpoint_caa005bTSaIRCf_100	Path point 100 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	100	ex:pathenergy_caa005bTSaIRCf_100
ex:pathpoint_caa005bTSaIRCf_101	Path point 101 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	101	ex:pathenergy_caa005bTSaIRCf_101
ex:pathpoint_caa005bTSaIRCf_102	Path point 102 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	102	ex:pathenergy_caa005bTSaIRCf_102
ex:pathpoint_caa005bTSaIRCf_103	Path point 103 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	103	ex:pathenergy_caa005bTSaIRCf_103
ex:pathpoint_caa005bTSaIRCf_104	Path point 104 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	104	ex:pathenergy_caa005bTSaIRCf_104
