ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ex:file_caa003b_inp	Input file caa003b	ex:InputFile			ex:exp_caa003a	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa003b.inp	152869f589c46b6500106d56743eae01861dbefe97406aac8b4e5eda12e7ebc3						
ex:file_caa003b_dat	Output data caa003b	ex:DataFile			ex:exp_caa003b								
ex:file_caa003b_log	Output log caa003b	ex:LogFile			ex:exp_caa003b	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa003b.log	0f40e37beeb8ea4ae3efb8e409d1570414b84aaad1c38ed5ac595c5f7fd8da61						
													
ex:exp_caa003c	Vibrational analysis caa003c	gc:VibrationalAnalysis	ex:file_caa003c_inp	ex:file_caa003c_dat|ex:file_caa003c_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa003c_inp	Input file caa003c	ex:InputFile			ex:exp_caa003b	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa003c.inp	f6f29d3b0d167b83e6db985777a40dabc5aae55b9920935e6805fb9b8008a684						
ex:file_caa003c_dat	Output data caa003c	ex:DataFile			ex:exp_caa003c								
ex:file_caa003c_log	Output log caa003c	ex:LogFile			ex:exp_caa003c	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa003c.log	964ea51f2fcfd529f07057772111b745c62ea0ac99f5745e2208f2767e0ce2bd						
													
ex:exp_caa003d	Vibrational analysis caa003d	gc:VibrationalAnalysis	ex:file_caa003d_inp	ex:file_caa003d_dat|ex:file_caa003d_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa003d_inp	Input file caa003d	ex:InputFile			ex:exp_caa003c	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa003d.inp	5b77dbf3496aa3122eca6bda898ff4fdbcce90118e9865cfcb3e7d648f836d63						
ex:file_caa003d_dat	Output data caa003d	ex:DataFile			ex:exp_caa003d								
ex:file_caa003d_log	Output log caa003d	ex:LogFile			ex:exp_caa003d	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa003d.log	a7bfdbae52cc494a57d54cc0eb37c1d1941dfa85c4c78bf9b69961af78add129						
													
ex:exp_caa004a	Vibrational analysis caa004a	gc:VibrationalAnalysis	ex:file_caa004a_inp	ex:file_caa004a_dat|ex:file_caa004a_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa004a_inp	Input file caa004a	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa004a.inp	3bf16a6a56c378ef50742e1030237002b29f3e5ce632ff7d1753fddf20d08687						
ex:file_caa004a_dat	Output data caa004a	ex:DataFile			ex:exp_caa004a								
ex:file_caa004a_log	Output log caa004a	ex:LogFile			ex:exp_caa004a	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa004a.log	e47206d5c1707ac3761c7d1cc36e50318f721b39c7facff36e94c7bb6e5319c8						
													
ex:exp_caa004b	Vibrational analysis caa004b	gc:VibrationalAnalysis	ex:file_caa004b_inp	ex:file_caa004b_dat|ex:file_caa004b_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa004b_inp	Input file caa004b	ex:InputFile			ex:exp_caa004a	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa004b.inp	1eb340a9c02678110e344e363375905552ade9cd1759893543b75947c63ae62c						
ex:file_caa004b_dat	Output data caa004b	ex:DataFile			ex:exp_caa004b								
ex:file_caa004b_log	Output log caa004b	ex:LogFile			ex:exp_caa004b	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa004b.log	4f06bcac33697d9ad48add29f7cadd5bcb8528d9b74ab0041865e86ee0a6fa14						
													
ex:exp_caa004c	Vibrational analysis caa004c	gc:VibrationalAnalysis	ex:file_caa004c_inp	ex:file_caa004c_dat|ex:file_caa004c_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa004c_inp	Input file caa004c	ex:InputFile			ex:exp_caa004b	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa004c.inp	17fdd323546fe87558fbc1e68579f15cdbfefa3ed07658ff2a3da1c8d8661b8d						
ex:file_caa004c_dat	Output data caa004c	ex:DataFile			ex:exp_caa004c								
ex:file_caa004c_log	Output log caa004c	ex:LogFile			ex:exp_caa004c	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa004c.log	333f0c65309a640e49ef54f9d9d7a258dab19186491183396708f5934ed1db7f						
													
ex:exp_caa004d	Vibrational analysis caa004d	gc:VibrationalAnalysis	ex:file_caa004d_inp	ex:file_caa004d_dat|ex:file_caa004d_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa004d_inp	Input file caa004d	ex:InputFile			ex:exp_caa004c	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa004d.inp	56eb10f5e2f95e1a9e4840dfb273094270d3aae433ac2081f9caf0d1b32c939c						
ex:file_caa004d_dat	Output data caa004d	ex:DataFile			ex:exp_caa004d								
ex:file_caa004d_log	Output log caa004d	ex:LogFile			ex:exp_caa004d	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa004d.log	f0c3d57d30ecee380e8be5df210418eb5c142f06e0dcba0097e87fc46b7a0509						
													
ex:exp_caa004e	Vibrational analysis caa004e	gc:VibrationalAnalysis	ex:file_caa004e_inp	ex:file_caa004e_dat|ex:file_caa004e_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa004e_inp	Input file caa004e	ex:InputFile			ex:exp_caa004d	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa004e.inp	48d6ee64785b217b8d2717fb66b744bcebae458041dbbc8437e7c3e4f3fe5991						
ex:file_caa004e_dat	Output data caa004e	ex:DataFile			ex:exp_caa004e								
ex:file_caa004e_log	Output log caa004e	ex:LogFile			ex:exp_caa004e	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa004e.log	8d1f1d65e31df23519ab324ca9cbf42a62aa7745db50e8caf9eb195c6e11df26						
													
