ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	I gc:hasFloatValue	I gc:hasUnit
ex:intval_rem01b_24	IR intensity mode 24 rem01b	gc:FloatValue	0.12574	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_25	IR intensity mode 25 rem01b	gc:FloatValue	3.67617	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_26	IR intensity mode 26 rem01b	gc:FloatValue	5.58167	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_27	IR intensity mode 27 rem01b	gc:FloatValue	0.10028	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_28	IR intensity mode 28 rem01b	gc:FloatValue	1.13553	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_29	IR intensity mode 29 rem01b	gc:FloatValue	2.37341	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_30	IR intensity mode 30 rem01b	gc:FloatValue	1.77709	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_31	IR intensity mode 31 rem01b	gc:FloatValue	0.96199	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_32	IR intensity mode 32 rem01b	gc:FloatValue	0.57697	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_33	IR intensity mode 33 rem01b	gc:FloatValue	0.22055	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_34	IR intensity mode 34 rem01b	gc:FloatValue	0.57142	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_35	IR intensity mode 35 rem01b	gc:FloatValue	0.23339	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_36	IR intensity mode 36 rem01b	gc:FloatValue	0.14489	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_37	IR intensity mode 37 rem01b	gc:FloatValue	0.37326	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_38	IR intensity mode 38 rem01b	gc:FloatValue	0.11728	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_39	IR intensity mode 39 rem01b	gc:FloatValue	0.18006	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_40	IR intensity mode 40 rem01b	gc:FloatValue	0.31454	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_41	IR intensity mode 41 rem01b	gc:FloatValue	0.22003	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_42	IR intensity mode 42 rem01b	gc:FloatValue	0.06002	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_43	IR intensity mode 43 rem01b	gc:FloatValue	0.08286	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_44	IR intensity mode 44 rem01b	gc:FloatValue	0.07672	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_45	IR intensity mode 45 rem01b	gc:FloatValue	0.36524	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_46	IR intensity mode 46 rem01b	gc:FloatValue	0.14112	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_47	IR intensity mode 47 rem01b	gc:FloatValue	0.03614	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_48	IR intensity mode 48 rem01b	gc:FloatValue	1.5498	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_49	IR intensity mode 49 rem01b	gc:FloatValue	0.39177	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_50	IR intensity mode 50 rem01b	gc:FloatValue	0.48242	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_51	IR intensity mode 51 rem01b	gc:FloatValue	1.41223	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_52	IR intensity mode 52 rem01b	gc:FloatValue	0.41759	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_53	IR intensity mode 53 rem01b	gc:FloatValue	0.50805	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_54	IR intensity mode 54 rem01b	gc:FloatValue	0.07726	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_55	IR intensity mode 55 rem01b	gc:FloatValue	0.2074	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_56	IR intensity mode 56 rem01b	gc:FloatValue	1.11395	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_57	IR intensity mode 57 rem01b	gc:FloatValue	0.03624	gc:debyeSquaredPerAmuAngstromSquared
ex:zpe_rem01b	Zero-point energy rem01b	gc:FloatValue	0.163249	gc:hartree
ex:enthalpy_rem01b	Enthalpy rem01b	gc:FloatValue	452.39	gc:kiloJoules
ex:entropy_rem01b	Entropy rem01b	gc:FloatValue	373.181	gc:joulePerMoleKelvin
ex:gibbs_rem01b	Gibbs free energy rem01b	gc:FloatValue	341.127	gc:kiloJoules
