ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_09aTSaIRCf_107	Path point 107 (forward) 09aTSaIRCf	gc:ReactionPathPoint	107	ex:pathenergy_09aTSaIRCf_107
ex:pathpoint_09aTSaIRCf_108	Path point 108 (forward) 09aTSaIRCf	gc:ReactionPathPoint	108	ex:pathenergy_09aTSaIRCf_108
ex:pathpoint_09aTSaIRCf_109	Path point 109 (forward) 09aTSaIRCf	gc:ReactionPathPoint	109	ex:pathenergy_09aTSaIRCf_109
ex:pathpoint_09aTSaIRCf_110	Path point 110 (forward) 09aTSaIRCf	gc:ReactionPathPoint	110	ex:pathenergy_09aTSaIRCf_110
ex:pathpoint_09aTSaIRCf_111	Path point 111 (forward) 09aTSaIRCf	gc:ReactionPathPoint	111	ex:pathenergy_09aTSaIRCf_111
ex:pathpoint_09aTSaIRCf_112	Path point 112 (forward) 09aTSaIRCf	gc:ReactionPathPoint	112	ex:pathenergy_09aTSaIRCf_112
ex:pathpoint_09aTSaIRCf_113	Path point 113 (forward) 09aTSaIRCf	gc:ReactionPathPoint	113	ex:pathenergy_09aTSaIRCf_113
ex:pathpoint_09aTSaIRCf_114	Path point 114 (forward) 09aTSaIRCf	gc:ReactionPathPoint	114	ex:pathenergy_09aTSaIRCf_114
ex:pathpoint_09aTSaIRCf_115	Path point 115 (forward) 09aTSaIRCf	gc:ReactionPathPoint	115	ex:pathenergy_09aTSaIRCf_115
ex:pathpoint_09aTSaIRCf_116	Path point 116 (forward) 09aTSaIRCf	gc:ReactionPathPoint	116	ex:pathenergy_09aTSaIRCf_116
ex:pathpoint_09aTSaIRCf_117	Path point 117 (forward) 09aTSaIRCf	gc:ReactionPathPoint	117	ex:pathenergy_09aTSaIRCf_117
ex:pathpoint_09aTSaIRCf_118	Path point 118 (forward) 09aTSaIRCf	gc:ReactionPathPoint	118	ex:pathenergy_09aTSaIRCf_118
ex:pathpoint_09aTSaIRCf_119	Path point 119 (forward) 09aTSaIRCf	gc:ReactionPathPoint	119	ex:pathenergy_09aTSaIRCf_119
ex:pathpoint_09aTSaIRCf_120	Path point 120 (forward) 09aTSaIRCf	gc:ReactionPathPoint	120	ex:pathenergy_09aTSaIRCf_120
ex:pathpoint_09aTSaIRCf_121	Path point 121 (forward) 09aTSaIRCf	gc:ReactionPathPoint	121	ex:pathenergy_09aTSaIRCf_121
ex:pathpoint_09aTSaIRCf_122	Path point 122 (forward) 09aTSaIRCf	gc:ReactionPathPoint	122	ex:pathenergy_09aTSaIRCf_122
ex:pathpoint_09aTSaIRCf_123	Path point 123 (forward) 09aTSaIRCf	gc:ReactionPathPoint	123	ex:pathenergy_09aTSaIRCf_123
ex:pathpoint_09aTSaIRCf_124	Path point 124 (forward) 09aTSaIRCf	gc:ReactionPathPoint	124	ex:pathenergy_09aTSaIRCf_124
ex:pathpoint_09aTSaIRCf_125	Path point 125 (forward) 09aTSaIRCf	gc:ReactionPathPoint	125	ex:pathenergy_09aTSaIRCf_125
ex:pathpoint_09aTSaIRCf_126	Path point 126 (forward) 09aTSaIRCf	gc:ReactionPathPoint	126	ex:pathenergy_09aTSaIRCf_126
ex:pathpoint_09aTSaIRCf_127	Path point 127 (forward) 09aTSaIRCf	gc:ReactionPathPoint	127	ex:pathenergy_09aTSaIRCf_127
ex:pathpoint_09aTSaIRCf_128	Path point 128 (forward) 09aTSaIRCf	gc:ReactionPathPoint	128	ex:pathenergy_09aTSaIRCf_128
ex:pathpoint_09aTSaIRCf_129	Path point 129 (forward) 09aTSaIRCf	gc:ReactionPathPoint	129	ex:pathenergy_09aTSaIRCf_129
ex:pathpoint_09aTSaIRCf_130	Path point 130 (forward) 09aTSaIRCf	gc:ReactionPathPoint	130	ex:pathenergy_09aTSaIRCf_130
ex:pathpoint_09aTSaIRCf_131	Path point 131 (forward) 09aTSaIRCf	gc:ReactionPathPoint	131	ex:pathenergy_09aTSaIRCf_131
ex:pathpoint_09aTSaIRCf_132	Path point 132 (forward) 09aTSaIRCf	gc:ReactionPathPoint	132	ex:pathenergy_09aTSaIRCf_132
ex:pathpoint_09aTSaIRCf_133	Path point 133 (forward) 09aTSaIRCf	gc:ReactionPathPoint	133	ex:pathenergy_09aTSaIRCf_133
ex:pathpoint_09aTSaIRCf_134	Path point 134 (forward) 09aTSaIRCf	gc:ReactionPathPoint	134	ex:pathenergy_09aTSaIRCf_134
ex:pathpoint_09aTSaIRCf_135	Path point 135 (forward) 09aTSaIRCf	gc:ReactionPathPoint	135	ex:pathenergy_09aTSaIRCf_135
ex:pathpoint_09aTSaIRCf_136	Path point 136 (forward) 09aTSaIRCf	gc:ReactionPathPoint	136	ex:pathenergy_09aTSaIRCf_136
ex:pathpoint_09aTSaIRCf_137	Path point 137 (forward) 09aTSaIRCf	gc:ReactionPathPoint	137	ex:pathenergy_09aTSaIRCf_137
ex:pathpoint_09aTSaIRCf_138	Path point 138 (forward) 09aTSaIRCf	gc:ReactionPathPoint	138	ex:pathenergy_09aTSaIRCf_138
ex:pathpoint_09aTSaIRCf_139	Path point 139 (forward) 09aTSaIRCf	gc:ReactionPathPoint	139	ex:pathenergy_09aTSaIRCf_139
ex:pathpoint_09aTSaIRCf_140	Path point 140 (forward) 09aTSaIRCf	gc:ReactionPathPoint	140	ex:pathenergy_09aTSaIRCf_140
ex:pathpoint_09aTSaIRCf_141	Path point 141 (forward) 09aTSaIRCf	gc:ReactionPathPoint	141	ex:pathenergy_09aTSaIRCf_141
ex:pathpoint_09aTSaIRCf_142	Path point 142 (forward) 09aTSaIRCf	gc:ReactionPathPoint	142	ex:pathenergy_09aTSaIRCf_142
ex:pathpoint_09aTSaIRCf_143	Path point 143 (forward) 09aTSaIRCf	gc:ReactionPathPoint	143	ex:pathenergy_09aTSaIRCf_143
ex:pathpoint_09aTSaIRCf_144	Path point 144 (forward) 09aTSaIRCf	gc:ReactionPathPoint	144	ex:pathenergy_09aTSaIRCf_144
ex:pathpoint_09aTSaIRCf_145	Path point 145 (forward) 09aTSaIRCf	gc:ReactionPathPoint	145	ex:pathenergy_09aTSaIRCf_145
ex:pathpoint_09aTSaIRCf_146	Path point 146 (forward) 09aTSaIRCf	gc:ReactionPathPoint	146	ex:pathenergy_09aTSaIRCf_146
ex:pathpoint_09aTSaIRCf_147	Path point 147 (forward) 09aTSaIRCf	gc:ReactionPathPoint	147	ex:pathenergy_09aTSaIRCf_147
ex:pathpoint_09aTSaIRCf_148	Path point 148 (forward) 09aTSaIRCf	gc:ReactionPathPoint	148	ex:pathenergy_09aTSaIRCf_148
ex:pathpoint_09aTSaIRCf_149	Path point 149 (forward) 09aTSaIRCf	gc:ReactionPathPoint	149	ex:pathenergy_09aTSaIRCf_149
ex:pathpoint_09aTSaIRCf_150	Path point 150 (forward) 09aTSaIRCf	gc:ReactionPathPoint	150	ex:pathenergy_09aTSaIRCf_150
ex:pathpoint_09aTSaIRCf_151	Path point 151 (forward) 09aTSaIRCf	gc:ReactionPathPoint	151	ex:pathenergy_09aTSaIRCf_151
ex:pathpoint_09aTSaIRCf_152	Path point 152 (forward) 09aTSaIRCf	gc:ReactionPathPoint	152	ex:pathenergy_09aTSaIRCf_152
ex:pathpoint_09aTSaIRCf_153	Path point 153 (forward) 09aTSaIRCf	gc:ReactionPathPoint	153	ex:pathenergy_09aTSaIRCf_153
ex:pathpoint_09aTSaIRCf_154	Path point 154 (forward) 09aTSaIRCf	gc:ReactionPathPoint	154	ex:pathenergy_09aTSaIRCf_154
ex:pathpoint_09aTSaIRCf_155	Path point 155 (forward) 09aTSaIRCf	gc:ReactionPathPoint	155	ex:pathenergy_09aTSaIRCf_155
ex:pathpoint_09aTSaIRCf_156	Path point 156 (forward) 09aTSaIRCf	gc:ReactionPathPoint	156	ex:pathenergy_09aTSaIRCf_156
ex:pathpoint_09aTSaIRCf_157	Path point 157 (forward) 09aTSaIRCf	gc:ReactionPathPoint	157	ex:pathenergy_09aTSaIRCf_157
ex:pathpoint_09aTSaIRCf_158	Path point 158 (forward) 09aTSaIRCf	gc:ReactionPathPoint	158	ex:pathenergy_09aTSaIRCf_158
ex:pathpoint_09aTSaIRCf_159	Path point 159 (forward) 09aTSaIRCf	gc:ReactionPathPoint	159	ex:pathenergy_09aTSaIRCf_159
ex:pathpoint_09aTSaIRCf_160	Path point 160 (forward) 09aTSaIRCf	gc:ReactionPathPoint	160	ex:pathenergy_09aTSaIRCf_160
ex:pathpoint_09aTSaIRCf_161	Path point 161 (forward) 09aTSaIRCf	gc:ReactionPathPoint	161	ex:pathenergy_09aTSaIRCf_161
ex:pathpoint_09aTSaIRCf_162	Path point 162 (forward) 09aTSaIRCf	gc:ReactionPathPoint	162	ex:pathenergy_09aTSaIRCf_162
ex:pathpoint_09aTSaIRCf_163	Path point 163 (forward) 09aTSaIRCf	gc:ReactionPathPoint	163	ex:pathenergy_09aTSaIRCf_163
ex:pathpoint_09aTSaIRCf_164	Path point 164 (forward) 09aTSaIRCf	gc:ReactionPathPoint	164	ex:pathenergy_09aTSaIRCf_164
ex:pathpoint_09aTSaIRCf_165	Path point 165 (forward) 09aTSaIRCf	gc:ReactionPathPoint	165	ex:pathenergy_09aTSaIRCf_165
ex:pathpoint_09aTSaIRCf_166	Path point 166 (forward) 09aTSaIRCf	gc:ReactionPathPoint	166	ex:pathenergy_09aTSaIRCf_166
ex:pathpoint_09aTSaIRCf_167	Path point 167 (forward) 09aTSaIRCf	gc:ReactionPathPoint	167	ex:pathenergy_09aTSaIRCf_167
ex:pathpoint_09aTSaIRCf_168	Path point 168 (forward) 09aTSaIRCf	gc:ReactionPathPoint	168	ex:pathenergy_09aTSaIRCf_168
ex:pathpoint_09aTSaIRCf_169	Path point 169 (forward) 09aTSaIRCf	gc:ReactionPathPoint	169	ex:pathenergy_09aTSaIRCf_169
ex:pathpoint_09aTSaIRCf_170	Path point 170 (forward) 09aTSaIRCf	gc:ReactionPathPoint	170	ex:pathenergy_09aTSaIRCf_170
ex:pathpoint_09aTSaIRCf_171	Path point 171 (forward) 09aTSaIRCf	gc:ReactionPathPoint	171	ex:pathenergy_09aTSaIRCf_171
ex:pathpoint_09aTSaIRCf_172	Path point 172 (forward) 09aTSaIRCf	gc:ReactionPathPoint	172	ex:pathenergy_09aTSaIRCf_172
ex:pathpoint_09aTSaIRCf_173	Path point 173 (forward) 09aTSaIRCf	gc:ReactionPathPoint	173	ex:pathenergy_09aTSaIRCf_173
ex:pathpoint_09aTSaIRCf_174	Path point 174 (forward) 09aTSaIRCf	gc:ReactionPathPoint	174	ex:pathenergy_09aTSaIRCf_174
ex:pathpoint_09aTSaIRCf_175	Path point 175 (forward) 09aTSaIRCf	gc:ReactionPathPoint	175	ex:pathenergy_09aTSaIRCf_175
ex:pathpoint_09aTSaIRCf_176	Path point 176 (forward) 09aTSaIRCf	gc:ReactionPathPoint	176	ex:pathenergy_09aTSaIRCf_176
ex:pathpoint_09aTSaIRCf_177	Path point 177 (forward) 09aTSaIRCf	gc:ReactionPathPoint	177	ex:pathenergy_09aTSaIRCf_177
