ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:intval_aa001g-smd_5	IR intensity mode 5 aa001g-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001g-smd_6	IR intensity mode 6 aa001g-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001g_1	Frequency mode 1 aa001g	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001g_2	Frequency mode 2 aa001g	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001g_3	Frequency mode 3 aa001g	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001g_4	Frequency mode 4 aa001g	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001g_5	Frequency mode 5 aa001g	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001g_6	Frequency mode 6 aa001g	gc:FloatValue	0	gc:cm-1
ex:intval_aa001g_1	IR intensity mode 1 aa001g	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001g_2	IR intensity mode 2 aa001g	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001g_3	IR intensity mode 3 aa001g	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001g_4	IR intensity mode 4 aa001g	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001g_5	IR intensity mode 5 aa001g	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001g_6	IR intensity mode 6 aa001g	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001h-smd_1	Frequency mode 1 aa001h-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h-smd_2	Frequency mode 2 aa001h-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h-smd_3	Frequency mode 3 aa001h-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h-smd_4	Frequency mode 4 aa001h-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h-smd_5	Frequency mode 5 aa001h-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h-smd_6	Frequency mode 6 aa001h-smd	gc:FloatValue	0	gc:cm-1
ex:intval_aa001h-smd_1	IR intensity mode 1 aa001h-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h-smd_2	IR intensity mode 2 aa001h-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h-smd_3	IR intensity mode 3 aa001h-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h-smd_4	IR intensity mode 4 aa001h-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h-smd_5	IR intensity mode 5 aa001h-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h-smd_6	IR intensity mode 6 aa001h-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001h_1	Frequency mode 1 aa001h	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h_2	Frequency mode 2 aa001h	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h_3	Frequency mode 3 aa001h	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h_4	Frequency mode 4 aa001h	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h_5	Frequency mode 5 aa001h	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001h_6	Frequency mode 6 aa001h	gc:FloatValue	0	gc:cm-1
ex:intval_aa001h_1	IR intensity mode 1 aa001h	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h_2	IR intensity mode 2 aa001h	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h_3	IR intensity mode 3 aa001h	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h_4	IR intensity mode 4 aa001h	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h_5	IR intensity mode 5 aa001h	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001h_6	IR intensity mode 6 aa001h	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa002-aldehyde-bare_1	Frequency mode 1 aa002-aldehyde-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-aldehyde-bare_2	Frequency mode 2 aa002-aldehyde-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-aldehyde-bare_3	Frequency mode 3 aa002-aldehyde-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-aldehyde-bare_4	Frequency mode 4 aa002-aldehyde-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-aldehyde-bare_5	Frequency mode 5 aa002-aldehyde-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-aldehyde-bare_6	Frequency mode 6 aa002-aldehyde-bare	gc:FloatValue	0	gc:cm-1
ex:intval_aa002-aldehyde-bare_1	IR intensity mode 1 aa002-aldehyde-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-aldehyde-bare_2	IR intensity mode 2 aa002-aldehyde-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-aldehyde-bare_3	IR intensity mode 3 aa002-aldehyde-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-aldehyde-bare_4	IR intensity mode 4 aa002-aldehyde-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-aldehyde-bare_5	IR intensity mode 5 aa002-aldehyde-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-aldehyde-bare_6	IR intensity mode 6 aa002-aldehyde-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa002-hydrate-bare-smd_1	Frequency mode 1 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare-smd_2	Frequency mode 2 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:cm-1
