ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ex:exp_aa001h-smd-pcseg2	Single point aa001h-smd-pcseg2	gc:SinglePoint	ex:file_aa001h-smd-pcseg2_inp	ex:file_aa001h-smd-pcseg2_dat|ex:file_aa001h-smd-pcseg2_log				wB97X-D	PCSEG-2	water	SMD	ENERGY	
ex:file_aa001h-smd-pcseg2_inp	Input file aa001h-smd-pcseg2	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001h-smd-pcseg2.inp	fead8b5767c0f661be300054f2646c449032a3093931cf388c3920c299eeb4bc						
ex:file_aa001h-smd-pcseg2_dat	Output data aa001h-smd-pcseg2	ex:DataFile			ex:exp_aa001h-smd-pcseg2								
ex:file_aa001h-smd-pcseg2_log	Output log aa001h-smd-pcseg2	ex:LogFile			ex:exp_aa001h-smd-pcseg2	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001h-smd-pcseg2.log	aff3133b67855a97d56436cb4eba9e51cf8ff84ba1e2603b05f5c6815394b337						
													
ex:exp_aa001h-smd	Vibrational analysis aa001h-smd	gc:VibrationalAnalysis	ex:file_aa001h-smd_inp	ex:file_aa001h-smd_dat|ex:file_aa001h-smd_log				wB97X-D	6-21G+(d,p)	water	SMD	OPTIMIZE	true
ex:file_aa001h-smd_inp	Input file aa001h-smd	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001h-smd.inp	165ffeeb46b2e77571ecdfc3973a28648963441864f3044384789b5e5cf2e385						
ex:file_aa001h-smd_dat	Output data aa001h-smd	ex:DataFile			ex:exp_aa001h-smd								
ex:file_aa001h-smd_log	Output log aa001h-smd	ex:LogFile			ex:exp_aa001h-smd	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001h-smd.log	0065e31d26fb349e191f721a7bdc68bac8aa2b561ac71bf2f5cbac6438c8dd51						
													
ex:exp_aa001h	Vibrational analysis aa001h	gc:VibrationalAnalysis	ex:file_aa001h_inp	ex:file_aa001h_dat|ex:file_aa001h_log				wB97X-D	6-21G+(d,p)	water	PCM	OPTIMIZE	true
ex:file_aa001h_inp	Input file aa001h	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001h.inp	970ef8fcb82a6a35f7110ae22aed6e0dc341a3b790c3ae1fad16f6b16321e2f8						
ex:file_aa001h_dat	Output data aa001h	ex:DataFile			ex:exp_aa001h								
ex:file_aa001h_log	Output log aa001h	ex:LogFile			ex:exp_aa001h	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001h.log	038b4954a564325cc5aabfe4b8ee3e001e31cfe595af7aefc0aac98d0a4a577c						
													
ex:exp_aa002-aldehyde-bare-smd-check	Vibrational analysis aa002-aldehyde-bare-smd-check	gc:VibrationalAnalysis	ex:file_aa002-aldehyde-bare-smd-check_inp	ex:file_aa002-aldehyde-bare-smd-check_dat|ex:file_aa002-aldehyde-bare-smd-check_log				wB97X-D	6-21G+(d,p)	water	SMD	OPTIMIZE	true
ex:file_aa002-aldehyde-bare-smd-check_inp	Input file aa002-aldehyde-bare-smd-check	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-aldehyde-bare-smd-check.inp	bda00c32b8c766a517e87eecafdde64a4a64f6a01ee416b46e92d5ffd8251649						
ex:file_aa002-aldehyde-bare-smd-check_dat	Output data aa002-aldehyde-bare-smd-check	ex:DataFile			ex:exp_aa002-aldehyde-bare-smd-check								
ex:file_aa002-aldehyde-bare-smd-check_log	Output log aa002-aldehyde-bare-smd-check	ex:LogFile			ex:exp_aa002-aldehyde-bare-smd-check	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-aldehyde-bare-smd-check.log	619c7a0a02882fbbabfa11d222119c9fc0968fd0706bf9d4125701e3c418a32a						
													
ex:exp_aa002-aldehyde-bare-smd-energy	Single point aa002-aldehyde-bare-smd-energy	gc:SinglePoint	ex:file_aa002-aldehyde-bare-smd-energy_inp	ex:file_aa002-aldehyde-bare-smd-energy_dat|ex:file_aa002-aldehyde-bare-smd-energy_log				wB97X-D	6-21G+(d,p)	water	SMD	ENERGY	
ex:file_aa002-aldehyde-bare-smd-energy_inp	Input file aa002-aldehyde-bare-smd-energy	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-aldehyde-bare-smd-energy.inp	068237e6d56e2800b675984ced26c0f22183e2167e7220dd99ad355d86a79e8d						
ex:file_aa002-aldehyde-bare-smd-energy_dat	Output data aa002-aldehyde-bare-smd-energy	ex:DataFile			ex:exp_aa002-aldehyde-bare-smd-energy								
ex:file_aa002-aldehyde-bare-smd-energy_log	Output log aa002-aldehyde-bare-smd-energy	ex:LogFile			ex:exp_aa002-aldehyde-bare-smd-energy	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-aldehyde-bare-smd-energy.log	47e6b9eb3dac9ac347a4c067fab3c2d353c37121d01b6284a32c48dd5d4b34e0						
													
ex:exp_aa002-aldehyde-bare-smd-hcore	Vibrational analysis aa002-aldehyde-bare-smd-hcore	gc:VibrationalAnalysis	ex:file_aa002-aldehyde-bare-smd-hcore_inp	ex:file_aa002-aldehyde-bare-smd-hcore_dat|ex:file_aa002-aldehyde-bare-smd-hcore_log				wB97X-D	6-21G+(d,p)	water	SMD	OPTIMIZE	true
ex:file_aa002-aldehyde-bare-smd-hcore_inp	Input file aa002-aldehyde-bare-smd-hcore	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-aldehyde-bare-smd-hcore.inp	60b3d0687647cb1726ed0cb92267bfa39625a76138b6acca754833788cb8bdd7						
ex:file_aa002-aldehyde-bare-smd-hcore_dat	Output data aa002-aldehyde-bare-smd-hcore	ex:DataFile			ex:exp_aa002-aldehyde-bare-smd-hcore								
ex:file_aa002-aldehyde-bare-smd-hcore_log	Output log aa002-aldehyde-bare-smd-hcore	ex:LogFile			ex:exp_aa002-aldehyde-bare-smd-hcore	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-aldehyde-bare-smd-hcore.log	b713e135660b191e90bdf02fbf8836f9d74ba73e93d3a9b9bf2f18abb7dc255d						
													
ex:exp_aa002-aldehyde-bare-smd	Vibrational analysis aa002-aldehyde-bare-smd	gc:VibrationalAnalysis	ex:file_aa002-aldehyde-bare-smd_inp	ex:file_aa002-aldehyde-bare-smd_dat|ex:file_aa002-aldehyde-bare-smd_log				wB97X-D	6-21G+(d,p)	water	SMD	OPTIMIZE	true
ex:file_aa002-aldehyde-bare-smd_inp	Input file aa002-aldehyde-bare-smd	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-aldehyde-bare-smd.inp	16463eab92dcc7ea6a0d3f1e9f8c1f57b5902459fc57c007574ce846999d9315						
